Structures,Backdoor protections mitigate 50% of damage done to enemy structures,,,,,,,,,,,,,
Structures,Base Health,Damage,Scaling Damage per Shot,Physical Protections,Magical Protections,Physical Damage Reduction,Magical Damage Increase,Gold Reward,EXP Reward,Health Regen,,,,
Tier 1 Tower,2000,215,20%,125,125,15%,20%,100,100,0,,,,
Tier 2 Tower,2500,260,20%,125,125,15%,20%,300,200,0,,,,
Phoenix,3000,320,20%,125,125,15%,20%,150,Fire Minions,8 per second,,,,
Structure,Base Health,Increase per Tower,Increase per Phoenix,Base Power,Increase per Tower,Increase per Phoenix,Base Protections,Increase per Tower,Increase per Phoenix,Health Regen,Health Resets,,,
Titan,8000,500,1500,250,20,60,60 Physical 45 Magical,5 Physical 2 Magical,15 Physical 6 Magical,0.4% max health per second,15% max health when leashed,,,
,,,,,,,,,Titan Stats Examples,,,,,
Minions,"Minions gain percent damage mitigations as the match goes on, scaling up to 50% at 40 minutes. This does not apply to structures or other minions, only gods and pets",,,,,,,,Phoenixes,Towers,Health,Physical Prots,Magical Prots,Physical Power
Minion Type,Damage,Health,Phys Protection,Mag Protection,Damage vs Towers,EXP Reward,Gold Reward,,0,0,8000,60,45,250
Melee,12,420,1.5,0,5,50,17.5,,1,0,9500,75,51,310
Ranged,25,305,0,1.5,11,30,12.5,,1,1,10000,80,53,330
Brute,50,805,15,0,22,50,17.5,,1,2,10500,85,55,350
Fire Melee,24,565,30,30,11,60,17,,2,0,11000,90,57,370
Fire Ranged,50,465,30,30,31,40,12,,2,1,11500,95,59,390
Fire Brute,100,900,45,30,45,60,17,,2,2,12000,100,61,410
Oni Melee,21,546,51.5,60,8.75,50,17.5,,2,3,12500,105,63,430
Oni Ranged,43.75,396.5,50,61.5,19.25,30,12.5,,2,4,13000,110,65,450
Oni Brute,87.5,1046.5,65,60,38.5,50,17.5,,,,,,,
Oni Fire Melee,42,734.5,80,90,19.25,60,17,,,,,,,
Oni Fire Ranged,87.5,604.5,80,90,54.25,40,12,,,,,,,
Oni Fire Brute,175,1170,95,90,78.75,60,17,,,,,,,
,,,,,,,,,,,,,,
